==PROF== Connected to process 64892 (/content/intloop/port27/src/bin/RNAfold)
==PROF== Disconnected from process 64892
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(7992, 1, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","4.16"
"0","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(7992, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","ns","275,168"
"0","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(7992, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","73.87"
"0","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(7992, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","90.78"
"0","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(7992, 1, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","42.27"
"0","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(7992, 1, 1)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","45.80"
"1","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8000, 1, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","4.22"
"1","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8000, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","ns","276,064"
"1","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8000, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","73.18"
"1","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8000, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","90.99"
"1","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8000, 1, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","42.13"
"1","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8000, 1, 1)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","45.76"
"2","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8008, 1, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","4.18"
"2","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8008, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","ns","277,152"
"2","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8008, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","73.67"
"2","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8008, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","91.10"
"2","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8008, 1, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","41.62"
"2","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8008, 1, 1)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","45.28"
"3","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8016, 1, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","4.87"
"3","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8016, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","ns","234,048"
"3","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8016, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","73.53"
"3","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8016, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","89.15"
"3","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8016, 1, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","40.18"
"3","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8016, 1, 1)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","44.54"
"4","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8024, 1, 1)","0","7.5","Command line profiler metrics","gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed","%","4.90"
"4","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8024, 1, 1)","0","7.5","Command line profiler metrics","gpu__time_duration.sum","ns","230,656"
"4","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8024, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","73.07"
"4","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8024, 1, 1)","0","7.5","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","86.97"
"4","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8024, 1, 1)","0","7.5","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","40.12"
"4","64892","RNAfold","127.0.0.1","int_loop_kernel_32(int, int, int, int, int, const cuda_param_s *, float, const char *, const unsigned int *, const unsigned int *, const int *, const unsigned long *, const unsigned long *, const unsigned long *, const unsigned long *, const int *, int *)","1","7","(32, 1, 1)","(8024, 1, 1)","0","7.5","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","44.22"
